[Thu Dec 11 08:07:50.301957 2025] [php7:error] [pid 112] [client 4.193.208.244:60885] script '/var/www/html/solucoesges.com.br/web/elp.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 08:07:50.657476 2025] [php7:error] [pid 113] [client 4.193.208.244:60889] script '/var/www/html/solucoesges.com.br/web/file5.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 08:07:52.957453 2025] [php7:error] [pid 111] [client 4.193.208.244:60903] script '/var/www/html/solucoesges.com.br/web/goods.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 08:07:54.057261 2025] [php7:error] [pid 111] [client 4.193.208.244:60919] script '/var/www/html/solucoesges.com.br/web/inputs.php' not found or unable to stat, referer: https://www.google.de/
[Thu Dec 11 08:07:54.440960 2025] [php7:error] [pid 112] [client 4.193.208.244:60925] script '/var/www/html/solucoesges.com.br/web/install.php' not found or unable to stat, referer: https://www.google.fr/
[Thu Dec 11 08:07:55.128892 2025] [php7:error] [pid 111] [client 4.193.208.244:60935] script '/var/www/html/solucoesges.com.br/web/manager.php' not found or unable to stat, referer: https://www.google.de/
[Thu Dec 11 08:07:57.083900 2025] [php7:error] [pid 112] [client 4.193.208.244:60947] script '/var/www/html/solucoesges.com.br/web/network.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 08:07:57.453256 2025] [php7:error] [pid 113] [client 4.193.208.244:60957] script '/var/www/html/solucoesges.com.br/web/options-reading.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 08:07:57.896348 2025] [php7:error] [pid 111] [client 4.193.208.244:60965] script '/var/www/html/solucoesges.com.br/web/simple.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 08:08:02.688393 2025] [php7:error] [pid 113] [client 4.193.208.244:61003] script '/var/www/html/solucoesges.com.br/web/wp-blog.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 08:08:18.647164 2025] [php7:error] [pid 111] [client 4.193.208.244:61167] script '/var/www/html/solucoesges.com.br/web/wp-editor.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 08:08:18.992388 2025] [php7:error] [pid 112] [client 4.193.208.244:61169] script '/var/www/html/solucoesges.com.br/web/wp-good.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 08:09:02.937828 2025] [php7:error] [pid 111] [client 4.193.208.244:61391] script '/var/www/html/solucoesges.com.br/web/wp-themes.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 08:09:03.447534 2025] [php7:error] [pid 112] [client 4.193.208.244:61397] script '/var/www/html/solucoesges.com.br/web/wp-user.php' not found or unable to stat, referer: https://www.google.fr/
[Thu Dec 11 08:09:04.036583 2025] [php7:error] [pid 113] [client 4.193.208.244:61401] script '/var/www/html/solucoesges.com.br/web/wp.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 08:09:04.780962 2025] [php7:error] [pid 111] [client 4.193.208.244:61409] script '/var/www/html/solucoesges.com.br/web/yas.php' not found or unable to stat, referer: https://www.bing.com/
